Indicator,Mean_TFN_L,Mean_TFN_M,Mean_TFN_U,Defuzzified
3,0.34375,0.59375,0.84375,0.59375
3.1,0.375,0.625,0.875,0.625
3.2,0.328125,0.578125,0.828125,0.578125
3.3,0.375,0.625,0.875,0.625
3.4,0.375,0.625,0.875,0.625
3.5,0.390625,0.640625,0.890625,0.640625
3.6,0.375,0.625,0.875,0.625
3.7,0.296875,0.546875,0.796875,0.546875
3.8,0.328125,0.578125,0.828125,0.578125
3.9,0.359375,0.609375,0.859375,0.609375
3.10,0.28125,0.53125,0.78125,0.53125
3.11,0.265625,0.5,0.75,0.50390625
3.12,0.34375,0.59375,0.84375,0.59375
3.13,0.359375,0.609375,0.859375,0.609375
3.14,0.375,0.625,0.875,0.625
